mapped_taxid	genome_taxids:kmers_mapped:total_genome_kmers
477974	477974:2348914:2349403 
1718	196627:1285495:3309328 340322:1283860:3363153 
211586	211586:4973790:5131278 
272943	272943:2996513:4602466 
272944	272944:606556:1268682 
272947	272947:1075421:1111450 
347834	347834:6501089:6529717 
411154	411154:3797700:3798392 
370552	370552:264883:1928179 
374931	374931:840952:1887119 
370551	370551:16978:1836394 
246194	246194:2400255:2401447 
131567	362976:48:3179215 71421:79:1830065 228400:87:2263784 240292:19:7068309 374930:48:1812960 281310:3:1914417 269797:231:4873620 196600:128:5259867 374931:198:1887119 209261:50:4791888 436308:257:1645186 406327:39:1719975 320373:43:7040257 345073:65:4132173 243277:65:4033318 338187:30:6058158 498213:133:4106867 376686:167:6096799 357804:7:4559525 216895:194:5126550 228410:3:2812021 192952:34:4096272 402880:20:1788900 203124:9:7750035 357348:15:7089103 262722:33:920006 223926:102:5165624 177439:226:3659415 205914:72:2012732 99287:6:4951225 160492:46:2731531 220341:14:5133494 412965:6:1022081 
246196	246196:6976280:6988136 
246197	246197:9137599:9139690 
234	204722:3222383:3315029 444178:2879270:3275444 483179:3181833:3312623 359391:3035907:3278161 470137:3085634:3324461 224914:3008333:3294785 262698:3042700:3286299 430066:3041305:3283790 
340322	340322:2064419:3363153 
106178	302409:1542:1499847 254945:1541:1512904 205920:2544:1176175 269484:2117:1314957 
400673	400673:1940808:3576397 
161	243276:1120113:1137938 455434:1120165:1139384 
320373	320373:1442738:7040257 
0	198215:46:4599281 85962:51:1667794 298386:45:6403061 222523:281:5432506 71421:176:1830065 272943:72:4602466 374930:15:1812960 194439:11:2154873 209261:8:4791888 266834:8:6691475 93059:86:1688890 264201:6:2414392 243276:19:1137938 243277:29:4033318 83331:266:4403764 243232:12:1664897 455434:385:1139384 243230:16:3283864 216895:26:5126550 297246:379:3635349 405955:468:5497434 297245:671:3405373 224326:1:1519602 155864:7429:5620376 368407:35:2478028 243161:9:1080305 509170:86:3589856 441772:22:4012772 164546:151:6476303 405416:586:3996542 199310:659:5231355 
87882	482957:415052:8676058 331271:437734:7278897 331272:446271:7702548 395019:327288:7008330 339670:364642:7528275 406425:439963:7971170 398577:362894:7642244 269482:438374:8390486 
28105	266834:78112:6691475 366394:60229:6817284 
340	314565:4848502:5148635 340:4995569:5078929 190485:4828969:5076115 
418136	418136:112860:1898403 
160488	160488:4697049:6181790 
810	243161:6298:1080305 471473:5168:1038790 471472:5155:1038769 115711:458:1229780 315277:4981:1051823 138677:422:1226492 115713:458:1230157 272561:5517:1042446 182082:458:1225862 
315750	315750:3682429:3704392 
813	315277:917466:1051823 272561:931004:1042446 471473:1010010:1038790 471472:1009586:1038769 
816	272559:13088:5241554 226186:50680:6293253 435590:56699:5163116 295405:38273:5310844 
817	272559:3237622:5241554 295405:3239038:5310844 
326297	326297:4285500:4306069 
384616	384616:1797384:1826329 
243233	243233:3302889:3304488 
243230	243230:3282380:3283864 
243231	243231:3809857:3814055 
713	416269:787:2274409 434271:757:2241989 339671:512:2319590 
712	416269:10660:2274409 434271:11321:2241989 233412:7706:1698882 221988:8242:2314005 71421:8148:1830065 339671:6274:2319590 228400:5751:2263784 205914:3738:2012732 281310:8721:1914417 374930:7417:1812960 374931:7302:1887119 272843:12820:2257414 
340102	340102:2111100:2121003 
1491	498213:2460252:4106867 441772:2406385:4012772 498214:1047496:4259545 441770:1758957:3863377 441771:1736245:3760487 413999:1766207:3903114 935198:714:3847823 
340100	340100:5120318:5287877 
290633	290633:2916790:2921946 
214092	214092:16921:4733426 
914	228410:1663:2812021 335283:1652:2781605 
299768	299768:226719:1796153 
295405	295405:2032171:5310844 
155864	155864:45157:5620376 
28447	443906:130330:3395018 31964:130143:3403567 
208964	208964:2702566:6264331 
388919	388919:2358063:2388362 
243164	243164:1434028:1469647 
314565	314565:219304:5148635 
223283	223283:6388326:6538041 
57723	204669:39:5650295 234267:50:9965567 
227377	227377:79441:2032528 
441772	441772:1594742:4012772 
441771	441771:8288:3760487 
441770	441770:69325:3863377 
195102	195102:1389403:3085594 
195103	195103:1581911:3256610 
273119	273119:2925:751646 
1663	290399:6014:5070186 290340:6580:5226429 
264730	264730:5929196:6112229 
272831	272831:651139:2194888 
85963	85963:1476620:1643758 
85962	85962:1394161:1667794 
2093	272632:1:1211630 272633:89:1358560 243273:253:580003 262723:12941:799403 262722:95:920006 347257:259:877365 262719:95:897332 272635:49:963806 233150:12013:1012727 295358:95:892685 267748:3:777006 
386585	386585:120894:5594258 
226900	226900:4911506:5426937 
76114	76114:4717960:4727036 
135622	211586:3296:5131278 167879:2252:5373107 351745:3966:4708307 325240:2257:5342531 60481:3113:4798963 60480:3011:4706214 319224:2141:4659147 392500:1510:5935330 351348:6797:4779543 398579:1339:5174508 357804:1183:4559525 326297:867:4306069 323850:2147:4602521 425104:1706:5517601 94122:3068:5251000 402882:2265:5312764 458817:1367:5226844 318161:1635:4545833 318167:2085:4845184 326442:3174:3850126 342610:1311:5186932 283942:982:2839245 399599:2266:5547252 
420246	420246:3559307:3607866 
420247	420247:1852695:1853087 
274	262724:1186576:2127336 300852:1185773:2115837 
290397	290397:5008180:5013406 
370553	370553:82000:1860282 
194	195099:1728:1777758 354242:1707:1698833 192222:1723:1641408 360104:4827:2099194 360105:5014:1971191 360106:3228:1773542 360107:1772:1714805 360109:1714:1845033 407148:1725:1628042 
309807	309807:3587121:3587182 
33958	272621:180:1993487 324831:784:1894287 321967:3076:2924179 257314:600:1992603 334390:1222:2098612 220668:5010:3348332 314315:1642:1884588 299033:1347:1999545 362948:1200:2133685 387344:1261:2340009 278197:9296:1832314 390333:766:1864925 405566:420:2080858 321956:786:1856878 
338217	355276:3631216:3931636 355277:3608792:3876089 
331112	331112:482228:4643465 
367830	451516:69276:2899810 367830:104281:2917177 
204669	204669:5650147:5650295 
315277	315277:128245:1051823 
349519	349519:1872724:1896249 
234267	234267:9965424:9965567 
207559	207559:3713258:3730159 
246195	246195:1387088:1389277 
410289	410289:34139:4374449 
290340	290340:5204141:5226429 
2260	70601:5198:1738432 272844:4168:1768416 186497:4044:1908183 
2266	178306:1:2222357 384616:11:1826329 368408:10:1813247 444157:11:1769750 340102:11:2121003 410359:11:2009240 
2267	178306:257:2222357 384616:255:1826329 444157:221:1769750 340102:254:2121003 410359:213:2009240 397948:246:2077494 
